FC Utrecht - FC Eindhoven,Utrecht - FC Eindhoven
PSV Eindhoven - TOP Oss,PSV - TOP Oss
AZ Alkmaar - MVV Maastricht,Alkmaar - Maastricht
Helmond Sport - Roda JC,Helmond - Roda
FC Dordrecht - NAC Breda,Dordrecht - Breda
Den Bosch - De Graafschap,Den Bosch - Graafschap
PEC Zwolle - Cambuur Leeuwarden,Zwolle - Cambuur
Willem II - Sparta Rotterdam,Willem II - Sp. Rotterdam
NEC - Heerenveen,Nijmegen - Heerenveen
FC Twente - Heracles Almelo,Twente - Heracles
Real Madryt  - Rayo Vallecano,Real Madryt - R. Vallecano
Alaves - Levante,Alaves - Levante
Celta Vigo - Barcelona,Celta - Barcelona
Espanyol - Granada,Espanyol - Granada
Ath. Bilbao - Cadiz,Bilbao - Cadiz
Quevilly - Toulouse,Quevilly - Toulouse
Paris FC - Rodez,Paris FC - Rodez
Niort - Nancy,Niort - Nancy
Le Havre - Valenciennes,Le Havre - Valenciennes
EA Guingamp - CA Bastia,Guingamp - Bastia
Grenoble Foot 38 - Dunkerque,Grenoble - Dunkerque
Amiens - SM Caen,Amiens - Caen
AC Ajaccio - Dijon,Ajaccio - Dijon
Sochaux - Nimes,Sochaux - Nimes
Auxerre - Pau FC,Auxerre - Pau FC
Bordeaux - PSG,Bordeaux - PSG
Lille - Angers,Lille - Angers
RC Lens - Troyes,Lens - Troyes
